round,assay_num,date_assay,label,absorbance,notes
1,2,11/3/2025,c2-2,1.3896,
1,2,11/3/2025,c2-2,1.373,
1,2,11/3/2025,c2-2,1.3637,
1,2,11/3/2025,c2-3,1.2464,
1,2,11/3/2025,c2-3,1.223,
1,2,11/3/2025,c2-3,1.2159,
1,2,11/3/2025,c2-4,0.7102,
1,2,11/3/2025,c2-4,0.7126,
1,2,11/3/2025,c2-4,0.706,
1,2,11/3/2025,di2-1,1.1064,
1,2,11/3/2025,di2-1,1.0801,
1,2,11/3/2025,di2-1,1.0729,
1,2,11/3/2025,di2-2,0.8888,
1,2,11/3/2025,di2-2,0.8946,
1,2,11/3/2025,di2-2,0.8846,
1,2,11/3/2025,di2-3,0.7635,
1,2,11/3/2025,di2-3,0.7464,
1,2,11/3/2025,di2-3,0.7361,
1,2,11/3/2025,di2-4,1.4284,
1,2,11/3/2025,di2-4,1.414,
1,2,11/3/2025,di2-4,1.4059,
1,2,11/3/2025,s2-1,0.4087,
1,2,11/3/2025,s2-1,0.4009,
1,2,11/3/2025,s2-1,0.4069,
1,2,11/3/2025,s2-2,0.466,
1,2,11/3/2025,s2-2,0.4575,
1,2,11/3/2025,s2-2,0.4608,
1,2,11/3/2025,s2-3,0.4608,
1,2,11/3/2025,s2-3,0.4565,
1,2,11/3/2025,s2-3,0.4584,
1,2,11/3/2025,s2-4,0.3448,
1,2,11/3/2025,s2-4,0.3449,
1,2,11/3/2025,s2-4,0.3489,
1,2,11/3/2025,do2-1,0.4385,
1,2,11/3/2025,do2-1,0.4415,
1,2,11/3/2025,do2-1,0.4331,
1,2,11/3/2025,do2-2,0.4486,
1,2,11/3/2025,do2-2,0.4506,
1,2,11/3/2025,do2-2,0.4423,
1,2,11/3/2025,do2-3,0.4154,
1,2,11/3/2025,do2-3,0.4258,
1,2,11/3/2025,do2-3,0.4264,
1,2,11/3/2025,do2-4,0.5616,
1,2,11/3/2025,do2-4,0.5594,
1,2,11/3/2025,do2-4,0.5489,
1,3,11/5/2025,w3-1,1.3786,
1,3,11/5/2025,w3-1,1.3669,
1,3,11/5/2025,w3-1,1.359,
1,3,11/5/2025,w3-2,1.1336,
1,3,11/5/2025,w3-2,1.1206,
1,3,11/5/2025,w3-2,1.1473,
1,3,11/5/2025,w3-3,1.3372,
1,3,11/5/2025,w3-3,1.326,
1,3,11/5/2025,w3-3,1.3281,
1,3,11/5/2025,w3-4,1.0406,
1,3,11/5/2025,w3-4,1.0126,
1,3,11/5/2025,w3-4,1.032,
1,3,11/5/2025,c3-1,1.7105,
1,3,11/5/2025,c3-1,1.7095,
1,3,11/5/2025,c3-1,1.7071,
1,3,11/5/2025,c3-2,1.14,
1,3,11/5/2025,c3-2,1.1125,
1,3,11/5/2025,c3-2,1.1081,
1,3,11/5/2025,c3-3,1.1474,
1,3,11/5/2025,c3-3,1.1268,
1,3,11/5/2025,c3-3,1.1727,
1,3,11/5/2025,c3-4,1.4135,
1,3,11/5/2025,c3-4,1.4268,
1,3,11/5/2025,c3-4,1.4228,
1,3,11/5/2025,di3-1,1.4202,
1,3,11/5/2025,di3-1,1.3665,
1,3,11/5/2025,di3-1,1.4087,
1,3,11/5/2025,di3-2,0.9162,
1,3,11/5/2025,di3-2,0.9047,
1,3,11/5/2025,di3-2,0.9083,
1,3,11/5/2025,di3-3,0.8931,
1,3,11/5/2025,di3-3,0.8986,
1,3,11/5/2025,di3-3,0.9066,
1,3,11/5/2025,di3-4,1.4939,
1,3,11/5/2025,di3-4,1.5371,
1,3,11/5/2025,di3-4,1.5271,
1,3,11/5/2025,s3-1,0.8022,
1,3,11/5/2025,s3-1,0.824,
1,3,11/5/2025,s3-1,0.8126,
1,3,11/5/2025,s3-2,0.6614,
1,3,11/5/2025,s3-2,0.6584,
1,3,11/5/2025,s3-2,0.6591,
1,3,11/5/2025,s3-4,0.4707,
1,3,11/5/2025,s3-4,0.4713,
1,3,11/5/2025,s3-4,0.4593,
1,3,11/5/2025,do3-1,0.6685,
1,3,11/5/2025,do3-1,0.6483,
1,3,11/5/2025,do3-1,0.6582,
1,3,11/5/2025,do3-2,0.6127,
1,3,11/5/2025,do3-2,0.6008,
1,3,11/5/2025,do3-2,0.6072,
1,3,11/5/2025,do3-3,0.9604,
1,3,11/5/2025,do3-3,0.9551,
1,3,11/5/2025,do3-3,0.9405,
1,4,11/10/2025,w4-1,1.2613,
1,4,11/10/2025,w4-1,1.2452,
1,4,11/10/2025,w4-1,1.2737,
1,4,11/10/2025,w4-2,1.0702,
1,4,11/10/2025,w4-2,1.0721,
1,4,11/10/2025,w4-2,1.0709,
1,4,11/10/2025,w4-3,1.0993,
1,4,11/10/2025,w4-3,1.1079,
1,4,11/10/2025,w4-3,1.094,
1,4,11/10/2025,w4-4,1.6949,
1,4,11/10/2025,w4-4,1.6723,
1,4,11/10/2025,w4-4,1.7076,
1,4,11/10/2025,c4-1,0.8694,
1,4,11/10/2025,c4-1,0.8737,
1,4,11/10/2025,c4-1,0.8509,
1,4,11/10/2025,c4-2,0.8483,
1,4,11/10/2025,c4-2,0.8586,
1,4,11/10/2025,c4-2,0.859,
1,4,11/10/2025,c4-3,0.9859,
1,4,11/10/2025,c4-3,0.988,
1,4,11/10/2025,c4-3,0.9731,
1,4,11/10/2025,c4-4,1.1965,
1,4,11/10/2025,c4-4,1.179,
1,4,11/10/2025,c4-4,1.2075,
1,4,11/10/2025,di4-1,1.2855,
1,4,11/10/2025,di4-1,1.288,
1,4,11/10/2025,di4-1,1.2868,
1,4,11/10/2025,di4-2,1.1,
1,4,11/10/2025,di4-2,1.1018,
1,4,11/10/2025,di4-2,1.0774,
1,4,11/10/2025,di4-3,0.9085,
1,4,11/10/2025,di4-3,0.8982,
1,4,11/10/2025,di4-3,0.9015,
1,4,11/10/2025,di4-4,1.0693,
1,4,11/10/2025,di4-4,1.0571,
1,4,11/10/2025,di4-4,1.0598,
1,4,11/10/2025,s4-1,0.5726,
1,4,11/10/2025,s4-1,0.5702,
1,4,11/10/2025,s4-1,0.5802,
1,4,11/10/2025,s4-2,0.3968,
1,4,11/10/2025,s4-2,0.3895,
1,4,11/10/2025,s4-2,0.3988,
1,4,11/10/2025,s4-3,0.7882,
1,4,11/10/2025,s4-3,0.794,
1,4,11/10/2025,s4-3,0.7972,
1,4,11/10/2025,s4-4,0.2535,
1,4,11/10/2025,s4-4,0.2565,
1,4,11/10/2025,s4-4,0.2545,
1,4,11/10/2025,do4-1,0.3501,
1,4,11/10/2025,do4-1,0.3498,
1,4,11/10/2025,do4-1,0.357,
1,4,11/10/2025,do4-2,1.0143,
1,4,11/10/2025,do4-2,1.0059,
1,4,11/10/2025,do4-2,1.0511,
1,4,11/10/2025,do4-3,0.5671,
1,4,11/10/2025,do4-3,0.5786,
1,4,11/10/2025,do4-3,0.5829,
1,4,11/10/2025,do4-4,0.9065,
1,4,11/10/2025,do4-4,0.9043,
1,4,11/10/2025,do4-4,0.9028,
1,5,11/17/2025,w5-1,0.8708,
1,5,11/17/2025,w5-1,0.8529,
1,5,11/17/2025,w5-1,0.9116,
1,5,11/17/2025,w5-2,1.1264,
1,5,11/17/2025,w5-2,1.1192,
1,5,11/17/2025,w5-2,1.1241,
1,5,11/17/2025,w5-3,1.2833,
1,5,11/17/2025,w5-3,1.3209,
1,5,11/17/2025,w5-3,1.3478,
1,5,11/17/2025,w5-4,1.5443,
1,5,11/17/2025,w5-4,1.5304,
1,5,11/17/2025,w5-4,1.56,
1,5,11/17/2025,c5-1,1.2258,
1,5,11/17/2025,c5-1,1.2305,
1,5,11/17/2025,c5-1,1.2386,
1,5,11/17/2025,c5-2,1.1423,
1,5,11/17/2025,c5-2,1.1258,
1,5,11/17/2025,c5-2,1.163,
1,5,11/17/2025,c5-3,1.0524,
1,5,11/17/2025,c5-3,1.0841,
1,5,11/17/2025,c5-3,1.0772,
1,5,11/17/2025,c5-4,1.5072,
1,5,11/17/2025,c5-4,1.5001,
1,5,11/17/2025,c5-4,1.4828,
1,5,11/17/2025,di5-1,1.033,
1,5,11/17/2025,di5-1,1.0334,
1,5,11/17/2025,di5-1,1.0461,
1,5,11/17/2025,di5-2,0.9383,
1,5,11/17/2025,di5-2,0.9045,
1,5,11/17/2025,di5-2,0.9282,
1,5,11/17/2025,di5-3,0.7787,
1,5,11/17/2025,di5-3,0.7817,
1,5,11/17/2025,di5-3,0.7931,
1,5,11/17/2025,di5-4,0.7948,
1,5,11/17/2025,di5-4,0.8457,
1,5,11/17/2025,di5-4,0.8367,
1,5,11/17/2025,s5-1,0.4708,
1,5,11/17/2025,s5-1,0.4785,
1,5,11/17/2025,s5-1,0.4734,
1,5,11/17/2025,s5-2,0.4345,
1,5,11/17/2025,s5-2,0.471,
1,5,11/17/2025,s5-2,0.4595,
1,5,11/17/2025,s5-3,0.2314,
1,5,11/17/2025,s5-3,0.2337,
1,5,11/17/2025,s5-3,0.2314,
1,5,11/17/2025,s5-4,0.2017,
1,5,11/17/2025,s5-4,0.1972,
1,5,11/17/2025,s5-4,0.2089,
1,5,11/17/2025,do5-1,0.3101,
1,5,11/17/2025,do5-1,0.3618,
1,5,11/17/2025,do5-1,0.3611,
1,5,11/17/2025,do5-2,0.334,
1,5,11/17/2025,do5-2,0.4179,
1,5,11/17/2025,do5-2,0.4274,
1,5,11/17/2025,do5-3,0.5888,
1,5,11/17/2025,do5-3,0.6381,
1,5,11/17/2025,do5-3,0.6494,
1,5,11/17/2025,do5-4,0.7537,
1,5,11/17/2025,do5-4,0.7628,
1,5,11/17/2025,do5-4,0.7432,
1,6,11/19/2025,w6-1,0.9245,
1,6,11/19/2025,w6-1,0.9213,
1,6,11/19/2025,w6-1,0.9338,
1,6,11/19/2025,w6-2,,excluded because water entered tubes when boiling
1,6,11/19/2025,w6-2,,excluded because water entered tubes when boiling
1,6,11/19/2025,w6-2,,excluded because water entered tubes when boiling
1,6,11/19/2025,w6-3,0.8628,
1,6,11/19/2025,w6-3,0.8955,
1,6,11/19/2025,w6-3,0.8785,
1,6,11/19/2025,w6-4,1.2263,
1,6,11/19/2025,w6-4,1.1988,
1,6,11/19/2025,w6-4,1.2406,
1,6,11/19/2025,c6-1,,excluded because water entered tubes when boiling
1,6,11/19/2025,c6-1,,excluded because water entered tubes when boiling
1,6,11/19/2025,c6-1,,excluded because water entered tubes when boiling
1,6,11/19/2025,c6-2,1.07,
1,6,11/19/2025,c6-2,1.0703,
1,6,11/19/2025,c6-2,1.0532,
1,6,11/19/2025,c6-3,0.999,
1,6,11/19/2025,c6-3,0.9727,
1,6,11/19/2025,c6-3,0.959,
1,6,11/19/2025,c6-4,0.7389,
1,6,11/19/2025,c6-4,0.736,
1,6,11/19/2025,c6-4,0.714,
1,6,11/19/2025,di6-1,0.6151,
1,6,11/19/2025,di6-1,0.6263,
1,6,11/19/2025,di6-1,0.6123,
1,6,11/19/2025,di6-2,1.1882,
1,6,11/19/2025,di6-2,1.1933,
1,6,11/19/2025,di6-2,1.2113,
1,6,11/19/2025,di6-3,1.0908,
1,6,11/19/2025,di6-3,1.0716,
1,6,11/19/2025,di6-3,1.0963,
1,6,11/19/2025,di6-4,1.2615,
1,6,11/19/2025,di6-4,1.2614,
1,6,11/19/2025,di6-4,1.2835,
1,6,11/19/2025,s6-1,0.5593,
1,6,11/19/2025,s6-1,0.5488,
1,6,11/19/2025,s6-1,0.5535,
1,6,11/19/2025,s6-2,0.7625,
1,6,11/19/2025,s6-2,0.753,
1,6,11/19/2025,s6-2,0.7579,
1,6,11/19/2025,s6-3,0.368,
1,6,11/19/2025,s6-3,0.3669,
1,6,11/19/2025,s6-3,0.3693,
1,6,11/19/2025,s6-4,0.4005,
1,6,11/19/2025,s6-4,0.3957,
1,6,11/19/2025,s6-4,0.3966,
1,6,11/19/2025,do6-1,1.1057,
1,6,11/19/2025,do6-1,1.0749,
1,6,11/19/2025,do6-1,1.106,
1,6,11/19/2025,do6-2,0.552,
1,6,11/19/2025,do6-2,0.5524,
1,6,11/19/2025,do6-2,0.5503,
1,6,11/19/2025,do6-3,1.0375,
1,6,11/19/2025,do6-3,1.023,
1,6,11/19/2025,do6-3,1.032,
1,6,11/19/2025,do6-4,0.8724,
1,6,11/19/2025,do6-4,0.8771,
1,6,11/19/2025,do6-4,0.8956,
,,,,,
,,,,,
